problemSize,workers,threads,input_ms,initialisation_ms,total_ms,ept,roundEpt,compareToStrong,baseTotal,baseInit,baseInput,totalSpeedup,initSpeedup,setupSpeedup,totalEfficiency,compareToWeak,weakBaseTotal,weakBaseInit,weakTotalEfficiency,weakInitEfficiency,difference
12288,1,1,241646,4284814,5274159,150994944,150995000,2,5274159,4284814,241646,1,1,1,1,2,5274159,4284814,1,1,0
12288,1,2,124701,2177200,2726824,75497472,75497000,2,5274159,4284814,241646,1.934176537,1.968038765,1.937803225,0.517015888,3,2726824,2177200,1,1,0
12288,1,4,69624,958897,1245155,37748736,37749000,2,5274159,4284814,241646,4.235744947,4.468482016,3.470728484,0.236085981,5,1393521,1139754,1.119154643,1.188609413,-0.069454769
6144,1,1,59656,1139754,1393521,37748736,37749000,5,1393521,1139754,59656,1,1,1,1,5,1393521,1139754,1,1,0
49152,10,80,100880,1686564,2214449,30198988.8,30199000,6,2214449,1686564,100880,1,1,1,1,6,2214449,1686564,1,1,0
24576,3,24,83336,1231031,1658533,25165824,25166000,7,1658533,1231031,83336,1,1,1,1,7,1658533,1231031,1,1,0
24576,4,32,62796,1048098,1359830,18874368,18874000,7,1658533,1231031,83336,1.219662017,1.174538068,1.327090898,0.819899272,11,622378,473631,0.457688093,0.45189572,0.005792374
12288,1,8,66182,1017317,1312113,18874368,18874000,2,5274159,4284814,241646,4.019592063,4.211876927,3.651234475,0.248781464,11,622378,473631,0.474332622,0.465568746,0.008763876
12288,1,8,42509,626991,805548,18874368,18874000,2,5274159,4284814,241646,6.547293271,6.833932226,5.684584441,0.152734872,11,622378,473631,0.772614419,0.755403188,0.017211231
6144,1,2,31941,473631,622378,18874368,18874000,5,1393521,1139754,59656,2.239026765,2.406417654,1.86769356,0.44662262,11,622378,473631,1,1,0
24576,5,40,50205,873766,1133435,15099494.4,15099000,7,1658533,1231031,83336,1.463280206,1.408879494,1.659914351,0.68339611,12,1133435,873766,1,1,0
24576,6,48,42967,739814,946413,12582912,12583000,7,1658533,1231031,83336,1.752441059,1.663973647,1.939534992,0.570632601,13,946413,739814,1,1,0
24576,7,56,38153,586159,778793,10785353.14,10785000,7,1658533,1231031,83336,2.129619809,2.100165655,2.184258119,0.469567383,14,778793,586159,1,1,0
24576,8,64,34219,580086,752438,9437184,9437000,7,1658533,1231031,83336,2.204212174,2.122152577,2.435372162,0.453676834,19,408295,324922,0.542629426,0.560127291,-0.017497866
12288,2,16,34394,511665,671345,9437184,9437000,2,5274159,4284814,241646,7.85610826,8.374256594,7.025818457,0.127289488,19,408295,324922,0.608174635,0.635028779,-0.026854144
12288,1,16,41738,540630,698187,9437184,9437000,2,5274159,4284814,241646,7.554077919,7.925594214,5.789592218,0.13237883,19,408295,324922,0.584793186,0.601006233,-0.016213048
6144,1,4,20461,263266,346624,9437184,9437000,5,1393521,1139754,59656,4.020266917,4.329286729,2.915595523,0.248739703,19,408295,324922,1.177919013,1.234196592,-0.056277579
3072,1,1,17844,324922,408295,9437184,9437000,19,408295,324922,17844,1,1,1,1,19,408295,324922,1,1,0
24576,9,72,30278,497119,649736,8388608,8389000,7,1658533,1231031,83336,2.55262599,2.476330617,2.752361451,0.391753435,20,649736,497119,1,1,0
24576,10,80,28562,437892,584031,7549747.2,7550000,7,1658533,1231031,83336,2.839803024,2.811266248,2.917722849,0.352137099,21,584031,437892,1,1,0
12288,3,24,24954,427906,545644,6291456,6291000,2,5274159,4284814,241646,9.665934199,10.01344688,9.683657931,0.103456115,22,545644,427906,1,1,0
12288,4,32,17698,261422,355772,4718592,4719000,2,5274159,4284814,241646,14.82454774,16.39041091,13.65385919,0.067455683,26,195099,144857,0.54838211,0.554111743,-0.005729633
6144,1,8,20002,261230,342507,4718592,4719000,5,1393521,1139754,59656,4.068591299,4.363028749,2.98250175,0.245785316,26,195099,144857,0.569620475,0.554519006,0.015101469
6144,1,8,17667,171458,231877,4718592,4719000,5,1393521,1139754,59656,6.009742234,6.647423859,3.376691006,0.166396488,26,195099,144857,0.841390047,0.844854133,-0.003464086
3072,1,2,10046,144857,195099,4718592,4719000,19,408295,324922,17844,2.092758036,2.243053494,1.776229345,0.477838328,26,195099,144857,1,1,0
12288,5,40,15684,194871,280153,3774873.6,3775000,2,5274159,4284814,241646,18.82599508,21.987951,15.40716654,0.053118042,27,280153,194871,1,1,0
12288,6,48,13086,176472,248521,3145728,3146000,2,5274159,4284814,241646,21.22218646,24.28041842,18.46599419,0.047120498,28,248521,176472,1,1,0
12288,7,56,11518,178634,244029,2696338.286,2696000,2,5274159,4284814,241646,21.612837,23.98655351,20.97985761,0.046268798,29,244029,178634,1,1,0
12288,8,64,11466,200863,263412,2359296,2359000,2,5274159,4284814,241646,20.0224705,21.33202232,21.07500436,0.049943887,34,102884,75449,0.390582054,0.375624182,0.014957872
6144,2,16,11710,136517,186638,2359296,2359000,5,1393521,1139754,59656,7.466437703,8.348806376,5.094449189,0.133932678,34,102884,75449,0.551248942,0.552671096,-0.001422154
6144,1,16,13638,149230,201848,2359296,2359000,5,1393521,1139754,59656,6.903813761,7.637566173,4.374248424,0.144847476,34,102884,75449,0.509710277,0.505588689,0.004121588
3072,1,4,7527,90214,121231,2359296,2359000,19,408295,324922,17844,3.367909198,3.601680449,2.370665604,0.296920119,34,102884,75449,0.848660821,0.836333607,0.012327214
1536,1,1,5588,75449,102884,2359296,2359000,34,102884,75449,5588,1,1,1,1,34,102884,75449,1,1,0
12288,9,72,10131,151792,209469,2097152,2097000,2,5274159,4284814,241646,25.17870902,28.22819384,23.85213701,0.039716095,35,209469,151792,1,1,0
12288,10,80,11848,141756,205280,1887436.8,1887000,2,5274159,4284814,241646,25.69251267,30.22668529,20.39550979,0.038921845,36,205280,141756,1,1,0
