problemSize,cores,input_ms,initialisation_ms,total_ms
12288      ,1    ,241646  ,4284814          ,5274159
6144       ,1    ,59656   ,1139754          ,1393521
3072       ,1    ,17844   ,324922           ,408295
1536       ,1    ,5588    ,75449            ,102884
768        ,1    ,2431    ,12729            ,30878
384        ,1    ,1446    ,3293             ,14719
12288      ,2    ,124701  ,2177200          ,2726824
6144       ,2    ,31941   ,473631           ,622378
3072       ,2    ,10046   ,144857           ,195099
1536       ,2    ,3732    ,46299            ,66798
768        ,2    ,2163    ,6567             ,19975
384        ,2    ,1542    ,1852             ,12788
12288      ,4    ,69624   ,958897           ,1245155
6144       ,4    ,20461   ,263266           ,346624
3072       ,4    ,7527    ,90214            ,121231
1536       ,4    ,6042    ,31725            ,50545
768        ,4    ,5977    ,4637             ,21972
384        ,4    ,3534    ,1177             ,13908
12288      ,8    ,42509   ,626991           ,805548
6144       ,8    ,17667   ,171458           ,231877
3072       ,8    ,7562    ,49488            ,74482
1536       ,8    ,5017    ,19241            ,35847
768        ,8    ,4265    ,3146             ,17252
384        ,8    ,5989    ,1351             ,16481
12288      ,16   ,41738   ,540630           ,698187
6144       ,16   ,13638   ,149230           ,201848
3072       ,16   ,7383    ,41439            ,64868
1536       ,16   ,8214    ,17586            ,37186
768        ,16   ,4607    ,6027             ,20536
384        ,16   ,5952    ,1621             ,16824
