problemSize,workers,threads,input_ms,initialisation_ms,total_ms,ept,roundEpt,compareTo,baseTotal,baseInit,baseInput,totalSpeedup,initSpeedup,setupSpeedup,totalEfficiency
384,1,1,1446,3293,14719,147456,147456,2,14719,3293,1446,1,1,1,1
384,1,2,1542,1852,12788,73728,73728,2,14719,3293,1446,1.151000938,1.778077754,0.937743191,0.868809022
384,1,4,3534,1177,13908,36864,36864,2,14719,3293,1446,1.058311763,2.797790994,0.409168081,0.944901148
384,1,8,5989,1351,16481,18432,18432,2,14719,3293,1446,0.893089012,2.437453738,0.241442645,1.119709219
384,1,16,5952,1621,16824,9216,9216,2,14719,3293,1446,0.874881122,2.03146206,0.242943548,1.143012433
768,1,1,2431,12729,30878,589824,589824,7,30878,12729,2431,1,1,1,1
768,1,2,2163,6567,19975,294912,294912,7,30878,12729,2431,1.54583229,1.938328004,1.123901988,0.646900706
768,1,4,5977,4637,21972,147456,147456,7,30878,12729,2431,1.405334062,2.745093811,0.406725782,0.711574584
768,1,8,4325,5117,20517,73728,73728,7,30878,12729,2431,1.504995857,2.487590385,0.562080925,0.664453656
768,1,8,4265,3146,17252,73728,73728,7,30878,12729,2431,1.78982147,4.046090273,0.569988277,0.558714943
768,2,16,4142,2988,20582,36864,36864,7,30878,12729,2431,1.500242931,4.260040161,0.586914534,0.666558715
768,1,16,4607,6027,20536,36864,36864,7,30878,12729,2431,1.503603428,2.111996018,0.527675277,0.665068981
768,3,24,2913,2388,18836,24576,24576,7,30878,12729,2431,1.639307709,5.33040201,0.834534844,0.610013602
768,4,32,1628,2059,17874,18432,18432,7,30878,12729,2431,1.727537205,6.182127246,1.493243243,0.578858734
768,5,40,1560,1937,17658,14745.6,14745.6,7,30878,12729,2431,1.748669158,6.571502323,1.558333333,0.571863463
1536,1,1,5588,75449,102884,2359296,2359296,17,102884,75449,5588,1,1,1,1
1536,1,2,3732,46299,66798,1179648,1179648,17,102884,75449,5588,1.540225755,1.629603231,1.497320472,0.649255472
1536,1,4,6042,31725,50545,589824,589824,17,102884,75449,5588,2.035493125,2.37821907,0.924859318,0.491281443
1536,1,8,6001,23495,43518,294912,294912,17,102884,75449,5588,2.364171148,3.211278996,0.931178137,0.422981222
1536,1,8,5017,19241,35847,294912,294912,17,102884,75449,5588,2.870086758,3.921261889,1.113813036,0.348421523
1536,2,16,4634,14450,34293,147456,147456,17,102884,75449,5588,3.000145802,5.221384083,1.205869659,0.333317134
1536,1,16,8214,17586,37186,147456,147456,17,102884,75449,5588,2.766740171,4.290287729,0.680301924,0.361436181
1536,3,24,3492,10452,29947,98304,98304,17,102884,75449,5588,3.435536114,7.218618446,1.600229095,0.291075386
1536,4,32,2496,8580,26841,73728,73728,17,102884,75449,5588,3.833091166,8.793589744,2.238782051,0.260886046
1536,5,40,3208,7396,25956,58982.4,58982.4,17,102884,75449,5588,3.963784867,10.20132504,1.741895262,0.252284126
1536,6,48,2346,7587,28662,49152,49152,17,102884,75449,5588,3.589561091,9.944510347,2.381926684,0.278585592
1536,7,56,2160,5874,24196,42130.28571,42130.3,17,102884,75449,5588,4.252107786,12.84456929,2.587037037,0.235177481
1536,8,64,2016,5748,25606,36864,36864,17,102884,75449,5588,4.01796454,13.12613083,2.771825397,0.248882236
1536,9,72,1915,4943,24378,32768,32768,17,102884,75449,5588,4.220362622,15.2638074,2.918015666,0.236946464
1536,10,80,1939,5056,24264,29491.2,29491.2,17,102884,75449,5588,4.24019123,14.92266614,2.881897886,0.23583842
3072,1,1,17844,324922,408295,9437184,9437184,32,408295,324922,17844,1,1,1,1
3072,1,2,10046,144857,195099,4718592,4718592,32,408295,324922,17844,2.092758036,2.243053494,1.776229345,0.477838328
3072,1,4,7527,90214,121231,2359296,2359296,32,408295,324922,17844,3.367909198,3.601680449,2.370665604,0.296920119
3072,1,8,8525,76754,109411,1179648,1179648,32,408295,324922,17844,3.731754577,4.233290773,2.09313783,0.267970463
3072,1,8,7562,49488,74482,1179648,1179648,32,408295,324922,17844,5.481794259,6.565672486,2.359693203,0.182422023
3072,2,16,6852,37093,64140,589824,589824,32,408295,324922,17844,6.36568444,8.759658157,2.604203152,0.157092298
3072,1,16,7383,41439,64868,589824,589824,32,408295,324922,17844,6.294243695,7.840971066,2.416903698,0.158875323
3072,3,24,4877,33036,56940,393216,393216,32,408295,324922,17844,7.170618195,9.835391694,3.658806643,0.13945799
3072,4,32,3715,27126,49280,294912,294912,32,408295,324922,17844,8.285206981,11.97824965,4.803230148,0.120697045
3072,5,40,3423,25976,47370,235929.6,235929.6,32,408295,324922,17844,8.619273802,12.50854635,5.212971078,0.116019055
3072,6,48,3101,22856,43711,196608,196608,32,408295,324922,17844,9.340783784,14.2160483,5.754272815,0.107057397
3072,7,56,2970,19392,40269,168521.1429,168521.1,32,408295,324922,17844,10.13918895,16.75546617,6.008080808,0.098627218
3072,8,64,2961,17949,39264,147456,147456,32,408295,324922,17844,10.39871129,18.10251267,6.026342452,0.096165763
3072,9,72,3216,18936,40813,131072,131072,32,408295,324922,17844,10.00404283,17.15895649,5.548507463,0.099959588
3072,10,80,2966,16377,37859,117964.8,117964.8,32,408295,324922,17844,10.78462189,19.84014166,6.016183412,0.092724623
6144,1,1,59656,1139754,1393521,37748736,37748736,47,1393521,1139754,59656,1,1,1,1
6144,1,2,31941,473631,622378,18874368,18874368,47,1393521,1139754,59656,2.239026765,2.406417654,1.86769356,0.44662262
6144,1,4,20461,263266,346624,9437184,9437184,47,1393521,1139754,59656,4.020266917,4.329286729,2.915595523,0.248739703
6144,1,8,20002,261230,342507,4718592,4718592,47,1393521,1139754,59656,4.068591299,4.363028749,2.98250175,0.245785316
6144,1,8,17667,171458,231877,4718592,4718592,47,1393521,1139754,59656,6.009742234,6.647423859,3.376691006,0.166396488
6144,2,16,11710,136517,186638,2359296,2359296,47,1393521,1139754,59656,7.466437703,8.348806376,5.094449189,0.133932678
6144,1,16,13638,149230,201848,2359296,2359296,47,1393521,1139754,59656,6.903813761,7.637566173,4.374248424,0.144847476
6144,3,24,8799,91652,133681,1572864,1572864,47,1393521,1139754,59656,10.42422633,12.43566971,6.779861348,0.095930381
6144,4,32,7674,83613,120719,1179648,1179648,47,1393521,1139754,59656,11.54351014,13.63130135,7.7737816,0.086628763
6144,5,40,5861,72842,106691,943718.4,943718.4,47,1393521,1139754,59656,13.06127977,15.64693446,10.17846784,0.076562176
6144,6,48,5234,70279,100243,786432,786432,47,1393521,1139754,59656,13.90142953,16.21756143,11.39778372,0.071935048
6144,7,56,5083,59911,89504,674084.5714,674084.6,47,1393521,1139754,59656,15.5693712,19.02411911,11.73637616,0.06422867
6144,8,64,4664,59466,89018,589824,589824,47,1393521,1139754,59656,15.65437327,19.16648169,12.79073756,0.063879913
6144,9,72,4649,43445,71892,524288,524288,47,1393521,1139754,59656,19.38353363,26.23441132,12.83200688,0.051590181
6144,10,80,4506,44313,72568,471859.2,471859.2,47,1393521,1139754,59656,19.20296825,25.72053348,13.23923657,0.052075283
12288,1,1,241646,4284814,5274159,150994944,150994944,62,5274159,4284814,241646,1,1,1,1
