problemSize,workers,threads,input_ms,initialisation_ms,total_ms,shutdown_ms,e2e_ms,ept,roundEpt,compareToStrong,baseTotal,baseInit,baseInput,totalSpeedup,initSpeedup,setupSpeedup,totalEfficiency,karpFlatt,compareToWeak,weakBaseTotal,weakBaseInit,weakTotalEfficiency,weakInitEfficiency,weakSpeedup,serial fraction
12288,4,64,8.3,146.976,161.613,8.85,206.62,2359296,2359000,8,3908.947,3621.74,81.762,24.18708272,24.64171021,9.850843373,0.041344383,0.026127627,15,89.806,82.688,0.555685496,0.562595254,36.00609623,0.631951068
12288,4,32,6.654,198.394,213.131,8.838,251.71,4718592,4719000,8,3908.947,3621.74,81.762,18.34058396,18.25528998,12.28764653,0.054523891,0.024024662,21,170.487,157.915,0.799916483,0.795966612,25.47093158,0.440626324
12288,4,16,7.092,302.26,325.502,8.846,373.047,9437184,9437000,8,3908.947,3621.74,81.762,12.00897998,11.98220075,11.52876481,0.083271019,0.022155754,22,332.281,307.961,1.020826293,1.018861245,16.30177992,0.266068002
12288,4,8,12.046,437.728,478.629,8.849,554.351,18874368,18874000,8,3908.947,3621.74,81.762,8.166966481,8.273950947,6.787481322,0.122444484,-0.002920589,28,554.65,517.899,1.158830744,1.183152551,9.465220411,-0.023852354
12288,4,4,23.026,800.909,870.537,8.865,993.669,37748736,37749000,8,3908.947,3621.74,81.762,4.490270948,4.522036836,3.550855555,0.22270371,-0.036395053,29,1077.773,999.796,1.238055361,1.248326589,4.993306356,-0.163423649
12288,1,2,43.42,1615.009,1746.367,6.699,1969.987,75497472,75497000,8,3908.947,3621.74,81.762,2.238330775,2.24255097,1.883049286,0.446761494,-0.106477013,7,1746.367,1615.009,1,1,2,-0.238330775
12288,1,1,81.762,3621.74,3908.947,6.712,4350.939,150994944,150995000,8,3908.947,3621.74,81.762,1,1,1,1,#DIV/0!,8,3908.947,3621.74,1,1,1,#DIV/0!
1536,4,64,4.351,5.094,7.774,8.847,24.467,36864,37000,15,89.806,82.688,1.982,11.55209673,16.23243031,0.455527465,0.086564372,0.072065394,32,3.333,1.159,0.428736815,0.227522576,14.56144484,0.832506401
1536,4,32,1.96,2.876,5.426,8.837,19.235,73728,74000,15,89.806,82.688,1.982,16.5510505,28.75104312,1.01122449,0.060419126,0.030110065,33,4.182,1.984,0.770733505,0.68984701,22.07510431,0.49835321
1536,4,16,0.705,6.736,9.373,8.84,21.993,147456,147000,15,89.806,82.688,1.982,9.581350688,12.27553444,2.811347518,0.104369419,0.044660713,34,5.947,3.445,0.634482023,0.511431116,8.182897862,0.427909954
1536,4,8,0.72,7.798,11.038,8.853,23.811,294912,295000,15,89.806,82.688,1.982,8.136075376,10.60374455,2.752777778,0.122909382,-0.002389277,35,9.157,6.819,0.829588694,0.874454988,6.995639908,-0.019439339
1536,4,4,0.862,13.37,17.089,9.005,30.503,589824,590000,15,89.806,82.688,1.982,5.255193399,6.184592371,2.299303944,0.190287954,-0.079616061,36,18.156,12.94,1.062437826,0.967838444,3.871353777,-0.4183978
1536,1,2,2.288,42.388,46.398,6.666,59.642,1179648,1180000,15,89.806,82.688,1.982,1.935557567,1.950740776,0.866258741,0.516646995,0.033293989,14,46.398,42.388,1,1,2,0.064442433
1536,1,1,1.982,82.688,89.806,6.665,105.196,2359296,2359000,15,89.806,82.688,1.982,1,1,1,1,#DIV/0!,15,89.806,82.688,1,1,1,#DIV/0!
3072,4,64,4.531,8.475,12.838,8.848,30.767,147456,147000,22,332.281,307.961,5.997,25.88261411,36.33758112,1.323548885,0.038635974,0.023376227,34,5.947,3.445,0.463234149,0.406489676,26.01533923,0.605037871
3072,4,32,2.154,14.786,18.366,8.865,33.531,294912,295000,22,332.281,307.961,5.997,18.0921812,20.82787772,2.784122563,0.055272495,0.024797414,35,9.157,6.819,0.498584341,0.461179494,14.75774381,0.448639316
