problemSize,workers,threads,input_ms,initialisation_ms,total_ms,shutdown_ms,e2e_ms,ept,roundEpt,compareToStrong,baseTotal,baseInit,baseInput,totalSpeedup,initSpeedup,setupSpeedup,totalEfficiency,compareToWeak,weakBaseTotal,weakBaseInit,weakTotalEfficiency,weakInitEfficiency,weakInitSpeedup,weakTotalSpeedup,serial fraction,karp-flatt metric,isoefficiency C,T0(n p),CT0(nmp)
24576,16,256,7.729,79.75,134.062,8.911,221.174,2359296,2359000,2,134.062,79.75,7.729,1,1,1,0.00390625,37,89.806,82.688,0.669884083,1.036840125,265.4310721,171.4903254,1,1,0.003921569,34185.81,134.062
12288,8,128,5.015,39.748,58.952,8.883,100.61,1179648,1180000,11,3908.947,3621.74,81.762,66.30728389,91.11754051,16.30348953,0.518025655,36,46.398,42.388,0.787047089,1.066418436,136.5015598,100.7420274,0.485769418,0.007326034,1.074799232,3636.909,3908.947
12288,16,256,3.666,20.133,46.022,8.894,96.226,589824,590000,11,3908.947,3621.74,81.762,84.9364869,179.8907267,22.30278232,0.331783152,38,18.932,12.998,0.411368476,0.645606715,165.2753191,105.3103298,0.670837306,0.007898105,0.496520183,7872.685,3908.947
12288,4,64,8.3,146.976,161.613,8.85,206.62,2359296,2359000,11,3908.947,3621.74,81.762,24.18708272,24.64171021,9.850843373,0.377923168,37,89.806,82.688,0.555685496,0.562595254,36.00609623,35.56387172,0.631951068,0.026127627,0.607518473,6434.285,3908.947
12288,4,32,6.654,198.394,213.131,8.838,251.71,4718592,4719000,11,3908.947,3621.74,81.762,18.34058396,18.25528998,12.28764653,0.573143249,28,170.487,157.915,0.799916483,0.795966612,25.47093158,25.59732747,0.440626324,0.024024662,1.342706299,2911.245,3908.947
12288,4,16,7.092,302.26,325.502,8.846,373.047,9437184,9437000,11,3908.947,3621.74,81.762,12.00897998,11.98220075,11.52876481,0.750561248,29,332.281,307.961,1.020826293,1.018861245,16.30177992,16.33322069,0.266068002,0.022155754,3.009000181,1299.085,3908.947
12288,4,8,12.046,437.728,478.629,8.849,554.351,18874368,18874000,11,3908.947,3621.74,81.762,8.166966481,8.273950947,6.787481322,1.02087081,19,554.65,517.899,1.158830744,1.183152551,9.465220411,9.270645949,-0.023852354,-0.002920589,-48.91380842,-79.915,3908.947
12288,4,4,23.026,800.909,870.537,8.865,993.669,37748736,37749000,11,3908.947,3621.74,81.762,4.490270948,4.522036836,3.550855555,1.122567737,20,1077.773,999.796,1.238055361,1.248326589,4.993306356,4.952221445,-0.163423649,-0.036395053,-9.158753886,-426.799,3908.947
12288,1,2,43.42,1615.009,1746.367,6.699,1969.987,75497472,75497000,11,3908.947,3621.74,81.762,2.238330775,2.24255097,1.883049286,1.119165387,10,1746.367,1615.009,1,1,2,2,-0.238330775,-0.106477013,-9.391698481,-416.213,3908.947
12288,1,1,81.762,3621.74,3908.947,6.712,4350.939,150994944,150995000,11,3908.947,3621.74,81.762,1,1,1,1,11,3908.947,3621.74,1,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
6144,4,64,4.436,20.212,28.941,8.885,52.629,589824,590000,20,1077.773,999.796,28.314,37.24035106,49.46546606,6.382777277,0.581880485,38,18.932,12.998,0.65415846,0.643083317,41.15733228,41.86614146,0.424756332,0.011405809,1.391660673,774.451,1077.773
6144,8,128,2.73,10.247,21.133,8.873,45.587,294912,295000,20,1077.773,999.796,28.314,50.99952681,97.56963014,10.37142857,0.398433803,46,9.157,6.819,0.433303364,0.665463062,85.17927198,55.46283064,0.606302939,0.011888403,0.662327447,1627.251,1077.773
6144,16,256,2.668,5.322,24.222,8.893,56.208,147456,147000,20,1077.773,999.796,28.314,44.49562381,187.8609545,10.61244378,0.173811031,39,5.621,3.3,0.232061762,0.620067644,158.7373168,59.40781108,0.829428926,0.018640685,0.210376847,5123.059,1077.773
6144,4,32,3.061,72.659,78.505,8.841,98.17,1179648,1180000,20,1077.773,999.796,28.314,13.72871792,13.76011231,9.249918327,0.429022435,36,46.398,42.388,0.59101968,0.58338265,18.66824481,18.91262977,0.589396196,0.042931627,0.751382298,1434.387,1077.773
6144,4,16,2.128,100.853,108.211,8.99,128.591,2359296,2359000,20,1077.773,999.796,28.314,9.959920895,9.913398709,13.30545113,0.622495056,37,89.806,82.688,0.829915628,0.819886369,13.11818191,13.27865004,0.40267194,0.040429231,1.648971929,653.603,1077.773
6144,4,8,3.401,161.85,173.52,8.846,199.992,4718592,4719000,20,1077.773,999.796,28.314,6.211232135,6.177299969,8.325198471,0.776404017,28,170.487,157.915,0.982520747,0.975687365,7.805498919,7.860165975,0.255538266,0.041141316,3.472352257,310.387,1077.773
6144,4,4,6.724,203.463,224.475,8.846,266.327,9437184,9437000,20,1077.773,999.796,28.314,4.801305268,4.913895893,4.210886377,1.200326317,29,332.281,307.961,1.480258381,1.513597067,6.054388267,5.921033523,-0.267101756,-0.055631071,-5.991855365,-179.873,1077.773
6144,1,2,15.856,517.899,554.65,6.681,628.238,18874368,18874000,20,1077.773,999.796,28.314,1.943158749,1.930484515,1.785696266,0.971579374,19,554.65,517.899,1,1,2,2,0.056841251,0.029251985,34.18571383,31.527,1077.773
6144,1,1,28.314,999.796,1077.773,6.684,1204.262,37748736,37749000,20,1077.773,999.796,28.314,1,1,1,1,20,1077.773,999.796,1,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
3072,1,16,4.175,43.345,49.22,6.669,66.165,589824,590000,29,332.281,307.961,5.997,6.750934579,7.104879456,1.436407186,0.421933411,38,18.932,12.998,0.38464039,0.299873111,4.797969777,6.154246241,0.616604361,0.091336148,0.729904512,455.239,332.281
3072,4,64,3.338,5.444,11.427,9.486,29.844,147456,147000,29,332.281,307.961,5.997,29.07858581,56.56888317,1.796584781,0.454352903,39,5.621,3.3,0.491905137,0.606171932,38.79500367,31.48192877,0.554308162,0.019062418,0.832686375,399.047,332.281
3072,8,128,2.367,2.872,12.899,8.88,30.946,73728,74000,29,332.281,307.961,5.997,25.76021397,107.2287604,2.533586819,0.201251672,45,4.182,1.984,0.324211179,0.690807799,88.42339833,41.49903093,0.805037685,0.031251203,0.251958802,1318.791,332.281
3072,16,256,2.293,1.741,15.35,8.894,37.18,36864,37000,29,332.281,307.961,5.997,21.64697068,176.887421,2.615351068,0.084558479,40,3.793,1.762,0.247100977,1.012062033,259.0878805,63.25785016,0.919031488,0.042455432,0.092369067,3597.319,332.281
3072,4,32,2.154,14.786,18.366,8.865,33.531,294912,295000,29,332.281,307.961,5.997,18.0921812,20.82787772,2.784122563,0.565380663,46,9.157,6.819,0.498584341,0.461179494,14.75774381,15.9546989,0.448639316,0.024797414,1.30086403,255.431,332.281
3072,4,8,1.974,49.675,55.08,8.851,71.892,1179648,1180000,29,332.281,307.961,5.997,6.032697894,6.19951686,3.037993921,0.754087237,36,46.398,42.388,0.842374728,0.853306492,6.826451938,6.738997821,0.281043158,0.046586645,3.06648271,108.359,332.281
3072,4,4,1.939,54.053,62.446,8.851,84.598,2359296,2359000,29,332.281,307.961,5.997,5.321093425,5.697389599,3.092831356,1.330273356,37,89.806,82.688,1.438138552,1.52975783,6.119031321,5.752554207,-0.440364475,-0.082758268,-4.02779495,-82.497,332.281
3072,1,2,3.235,157.915,170.487,6.669,192.638,4718592,4719000,29,332.281,307.961,5.997,1.949010775,1.950169395,1.853786708,0.974505388,28,170.487,157.915,1,1,2,2,0.050989225,0.026161592,38.22397331,8.693,332.281
3072,1,1,5.997,307.961,332.281,6.659,369.07,9437184,9437000,29,332.281,307.961,5.997,1,1,1,1,29,332.281,307.961,1,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!
1536,1,4,2.179,29.6,33.172,6.564,45.903,589824,590000,37,89.806,82.688,1.982,2.707283251,2.793513514,0.909591556,0.676820813,38,18.932,12.998,0.570722296,0.439121622,1.756486486,2.282889184,0.430905583,0.159165312,2.094258663,42.882,89.806
1536,1,16,3.259,17.346,20.439,6.676,33.719,147456,147000,37,89.806,82.688,1.982,4.393854885,4.766977978,0.608162013,0.27461593,39,5.621,3.3,0.275013455,0.19024559,3.043929436,4.400215275,0.773743008,0.176096623,0.37858004,237.218,89.806
1536,4,64,3.15,1.722,5.373,8.968,21.317,36864,37000,37,89.806,82.688,1.982,16.7143123,48.01858304,0.629206349,0.26116113,40,3.793,1.762,0.705937093,1.023228804,65.48664344,45.17997394,0.750566471,0.044905615,0.353475081,254.066,89.806
